timestamp,cpu_usage_forecast,memory_usage_forecast,disk_io_forecast,business_criticality,resource_score,action,cost_impact
2023-01-01 00:00:00,51.93016425928383,60.89254271860533,41.82330006696472,Moderate,52.597504958616454,Scale Down,-15
2023-01-01 01:00:00,55.99456084038201,63.33796222431053,44.90015684492988,Moderate,55.978700456470136,Scale Down,-15
2023-01-01 02:00:00,60.58503072462344,66.09413231081453,48.48173532616562,Low,59.8171021207892,Scale Down,-15
2023-01-01 03:00:00,65.36827843625072,68.91436920211719,52.04187802102698,Moderate,63.766825582965915,Scale Down,-15
2023-01-01 04:00:00,69.45227327313638,71.3117391244368,54.72714928658383,Low,67.065088231216,Scale Down,-15
2023-01-01 05:00:00,71.94646204027515,72.87099192737095,55.98578585173354,Moderate,69.03168576869557,No Action,0
2023-01-01 06:00:00,72.49024884440786,73.47869277561283,55.89477051014299,Low,69.46768635691637,Scale Down,-15
2023-01-01 07:00:00,71.33044461826212,73.29614923983182,54.92040574614847,Critical,68.63814823031029,Scale Up,15
2023-01-01 08:00:00,68.96010924860933,72.54356072113238,53.39680392713414,Moderate,66.9224836260712,No Action,0
2023-01-01 09:00:00,65.70941745852228,71.32147868901131,51.25230118001686,Low,64.50161257196791,Scale Down,-15
2023-01-01 10:00:00,61.65936035262921,69.62689491863051,48.23118028674829,Moderate,61.36398470925342,Scale Down,-15
2023-01-01 11:00:00,56.8864568911423,67.51092975285869,44.34780917800816,Low,57.56606920703038,Scale Down,-15
2023-01-01 12:00:00,51.72075784108868,65.1892055177114,40.0873785215551,Critical,53.43461628016878,Scale Down,-15
2023-01-01 13:00:00,46.72588198095413,62.983071347641456,36.14421066125403,Low,49.48670452702031,Scale Down,-15
2023-01-01 14:00:00,42.432177908794614,61.15753722811665,32.96963820843254,Moderate,46.15727776451881,Scale Down,-15
2023-01-01 15:00:00,39.119305375251,59.8289673873842,30.590899227567203,Critical,43.6265227493542,Scale Down,-15
2023-01-01 16:00:00,36.874990960328944,59.03195441946114,28.869569525253514,Critical,41.92099571105352,Scale Down,-15
2023-01-01 17:00:00,35.83551513352444,58.85315315234393,27.89902294901936,Critical,41.15350810226927,Scale Down,-15
2023-01-01 18:00:00,36.29297076928758,59.45770523965815,28.084458337069908,Low,41.600688623955214,Scale Down,-15
2023-01-01 19:00:00,38.48446025421876,60.946025760806286,29.776668459092456,Moderate,43.48137154716976,Scale Down,-15
2023-01-01 20:00:00,42.238100785412044,63.17420588118978,32.813787108011724,Low,46.634069578665304,Scale Down,-15
2023-01-01 21:00:00,46.86217555469477,65.74284404866023,36.46426663297976,Moderate,50.44679431854141,Scale Down,-15
2023-01-01 22:00:00,51.4797307520853,68.21670971067905,39.89665209862551,Low,54.18420870897147,Scale Down,-15
2023-01-01 23:00:00,55.58235038311325,70.40904677284236,42.77739170898421,Moderate,57.46936756520617,Scale Down,-15
2023-01-02 00:00:00,59.32152652773809,72.47606114171128,45.439898089019685,Critical,60.49156122418637,No Action,0
2023-01-02 01:00:00,63.24789633157978,74.71964675076809,48.45043544846803,Critical,63.72992928071392,No Action,0
2023-01-02 02:00:00,67.69403360568968,77.2571536142652,51.961642007401665,Low,67.41649128860473,Scale Down,-15
2023-01-02 03:00:00,72.32672521896646,79.84199984644115,55.44734246323221,Moderate,71.20543105606203,No Action,0
2023-01-02 04:00:00,76.25398496518088,81.9873957163524,58.054079128409825,Critical,74.33402702317812,Scale Up,15
