timestamp,cpu_usage,memory_usage,disk_io,business_criticality,active_servers,estimated_hourly_cost_usd,network_usage_mbps
2023-01-01 00:00:00,52.48357076505616,62.91423707301708,40.84244940764019,Moderate,4,0.7106,282.5336484523865
2023-01-01 01:00:00,55.08076380029097,59.37641667407849,49.278224774391056,Moderate,3,0.6153,319.84848807250506
2023-01-01 02:00:00,64.38188905912821,62.760831051903345,42.15953935507964,Low,3,0.6579,420.23981165016255
2023-01-01 03:00:00,73.35818937778487,70.73457031226205,63.39431060401199,Moderate,4,0.8066,363.75419905658526
2023-01-01 04:00:00,68.08621756572242,70.93475934882365,39.737750115537125,Low,4,0.7858,427.1635695546216
2023-01-01 05:00:00,70.28111423801639,71.23050142863568,65.80918632499697,Moderate,4,0.7951,447.0944391044078
2023-01-01 06:00:00,80.08774698641778,76.38103263149387,55.767886601416976,Low,4,0.8426,362.86503167904084
2023-01-01 07:00:00,75.28572179516047,73.88998192798421,62.453637385193225,Critical,4,0.8194,393.9769457678971
2023-01-01 08:00:00,66.95669309741807,72.77407184109876,56.28376501864692,Moderate,4,0.7843,380.37651972398663
2023-01-01 09:00:00,68.65636757634626,73.63307807336875,53.549464277214085,Low,4,0.7924,324.03013175835156
2023-01-01 10:00:00,59.325181461335944,68.37005610634185,51.69292174411598,Moderate,3,0.6467,392.7906508472737
2023-01-01 11:00:00,54.416171511769186,72.09945439392344,49.71662340890592,Low,4,0.733,340.1855948982818
2023-01-01 12:00:00,52.8495128772527,62.81874239135969,37.837201728119354,Critical,3,0.6119,306.19392970334684
2023-01-01 13:00:00,37.16398329734184,65.03438577689732,43.616780724767864,Low,3,0.5527,321.8955143187955
2023-01-01 14:00:00,33.780780015930745,65.53131117024446,25.455950502566207,Moderate,2,0.44,327.8501881348697
2023-01-01 15:00:00,36.197898968443226,55.72151631436468,30.382504828988964,Critical,2,0.4339,232.43386018322687
2023-01-01 16:00:00,31.75339630511727,58.04154077500315,34.54926081270653,Critical,2,0.4199,323.64893209807707
2023-01-01 17:00:00,37.58665248444589,62.40312129467174,34.98448712209329,Critical,2,0.4502,169.95642636772718
2023-01-01 18:00:00,32.14456177364664,63.080438623718585,31.672442575044546,Low,2,0.4295,238.787734981879
2023-01-01 19:00:00,31.735844392417924,60.43926191552436,27.205508291845163,Moderate,1,0.3236,168.96249593521716
2023-01-01 20:00:00,49.54601722372855,60.73936607321309,38.73166131675069,Low,3,0.5954,212.9361776392065
2023-01-01 21:00:00,45.58368409897826,68.32833486981737,31.072799376697027,Moderate,3,0.5917,239.24441814181648
2023-01-01 22:00:00,52.30564687604739,71.89859150979696,51.89488258676114,Low,2,0.5243,262.6005195828688
2023-01-01 23:00:00,50.4894741829008,67.92583262541494,43.213911274486385,Moderate,3,0.6106,314.05730682425235
2023-01-02 00:00:00,55.129799674910025,68.16582899940477,33.148476789326246,Critical,4,0.7296,337.1943615712157
2023-01-02 01:00:00,64.02964663063267,75.49238514593532,39.72371642071093,Critical,3,0.6769,404.5657795560566
2023-01-02 02:00:00,62.931759273800246,79.52649364094565,52.246788788790155,Low,3,0.679,476.973462468628
2023-01-02 03:00:00,74.9944667256707,79.16003840966086,56.19094503764416,Moderate,5,0.9266,428.9538359787568
2023-01-02 04:00:00,73.44594770665631,83.95388882627503,71.45159346479471,Critical,5,0.9281,482.68628292463467
2023-01-02 05:00:00,76.9945274758453,80.96740276305893,51.85242318751788,Critical,5,0.9375,470.7009040212221
2023-01-02 06:00:00,75.98347812318532,77.1905605954665,59.76058483324637,Critical,4,0.8274,399.99881072911427
2023-01-02 07:00:00,87.2997733165617,81.94065193165133,51.31454595802821,Low,5,0.9803,456.37029829119757
